ID,BH050M,BH05106M,BH0515MA,BH0523M,BH0530M,BH0532C,BH0546M,BH0560M,BH0561M,BH057M,BH0585M,BH0910M,BH0920M,BH0930M,BH0940M,BH0950M,BH0960M,BH0970M,BH0980M,BH0985M,BH0990M,BH0995M
94cfb9dc760771286111eb32fe69d021,6,17338,0,0,0,10,0,78,0,20,19969,2,0,0,0,42,220,269,35373,52187,34264,45656
82b4f5ca88e19f7e31332ddb8ef7f69c,38,1564,0,0,29,0,18270,21178,12537,26,2540,42,0,0,43145,27751,25493,19429,2835,2128,1393,2536
29cde7953b89ed299cf71fc3632c9745,2591,207,3986,20172,23433,10826,316,135,313,4401,246,25051,27564,31483,1092,2700,327,170,255,228,104,123
79b6ba700ad3d23ce74782c17b135b0c,9197,0,10804,1281,1681,1156,43,0,0,11365,0,6416,6044,2674,221,651,74,25,87,53,0,0
640aedd43f356caae022da7985d89a8a,1611,0,2591,1276,1159,1040,622,950,301,1813,0,7583,5426,4552,1441,2981,2747,1236,85,0,0,0
4ecdd52c6a6b24c373bd062063194b0e,1396,46,2521,2668,2136,2423,645,870,315,1840,78,6279,3954,2871,789,2578,2833,1830,127,0,0,28
4163432925944637b6fb1dd97391f2a7,0,4862,0,0,0,0,0,49,0,0,5393,39,0,0,0,107,737,5588,3781,229,166,280
52a567845c8f231ce77e4594fcf07a8e,411,0,741,388,312,320,809,1134,342,468,0,1623,1117,1961,901,3158,2990,1520,0,0,0,0
83a6f4cd0bb006b714a9b21fd9329acc,326,0,337,888,1116,739,1966,3709,1454,306,17,602,735,297,665,3002,1108,785,22,0,0,0
b6d6c1c23bc54d2f7feb5ca54c868a38,0,1258,0,0,0,0,0,0,0,0,1277,0,0,0,0,0,44,56,4707,3415,2537,4694
5f6c8dd5dd9f11fb420c1be362ebc1bd,0,0,0,0,0,0,1084,2244,635,0,0,0,0,29,1758,5872,4151,2026,0,0,0,0
fe5ef4c6487dc281ce40cbbb9964cc2e,0,0,0,0,0,18,1864,2820,1398,0,0,0,0,20,1264,4884,2895,2476,52,0,0,0
