ID,BH050M,BH05106M,BH0515MA,BH0523M,BH0530M,BH0532C,BH0546M,BH0560M,BH0561M,BH057M,BH0585M,BH0910M,BH0920M,BH0930M,BH0940M,BH0950M,BH0960M,BH0970M,BH0980M,BH0985M,BH0990M,BH0995M
56f3f29aaa149dc5b511e5dd1b4c184c,666,42,1277,1411,903,1169,578,322,274,965,53,1712,1385,1478,427,819,1785,1090,111,30,0,0
b0e47d64c1220badb62bda49065341d2,0,0,0,0,0,0,1176,1468,737,0,8,0,0,0,2174,3109,4604,3007,106,0,0,0
8c9a936351857ef2204d3eb67476d2f7,65,173,75,1336,1283,799,77,0,0,95,201,562,119,6509,344,518,129,71,135,223,204,327
0c9d87a3d6360924773ccaf11ad4c90d,781,0,1163,429,338,340,218,210,55,926,0,2515,2281,1805,396,563,593,378,0,29,0,0
711396cf0fe665d6da267a4dee253b11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4653,7056,901,251,35,0,0,0
60fd82fe2d204179063de388bc2c0907,0,0,0,0,0,0,41,53,0,0,0,0,0,0,0,4815,2951,2812,30,0,0,0
cedfe3fd1d1f0304b2bb94a2f408b2d8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1491,2038,1564,1023,1123,1048,738,1048
917aa7f39223a889b235e61fe5aeeca8,199,0,314,597,722,907,79,68,38,355,35,1771,2042,1898,168,209,170,319,101,35,0,0
8a0480aea709fb3ccbe807d849172893,0,671,0,0,0,0,0,0,0,0,804,0,0,0,0,0,41,36,2589,1851,1671,2295
e3fcac70650c5d636b2a263203f36131,0,762,0,0,0,0,0,0,0,0,705,0,0,0,0,0,0,0,2345,1990,1528,2617
e6164e1ba0a1c1e74f827900ce36839b,0,284,0,0,0,0,0,0,0,0,337,0,0,0,0,0,0,33,8426,217,171,311
bce9f23c2080c21fded6337dcf47e79c,0,0,0,0,0,0,155,297,68,0,0,0,0,0,277,1697,3248,3711,146,0,0,0
580c721cd115033cebadc0d909e4cd83,311,0,437,813,648,882,316,354,186,535,34,1401,1606,933,237,376,145,142,32,19,0,4
7cb3de8024ffd34fa6de89cf9ccf572e,0,0,0,0,0,0,834,868,447,0,0,16,0,240,1291,2397,1735,1253,0,0,0,0
a41e4c4ea02368fee4f8db837db040ad,0,0,22,262,238,257,337,399,137,0,0,817,628,496,238,1946,1708,1506,0,0,0,0
ed180bfc4c0dee8ffb269ceee642d93e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4838,2958,707,274,0,0,0,0
948cba9993632f80e9329f573b0771dd,232,43,357,536,521,249,0,0,0,368,37,2076,2263,1205,71,125,58,33,48,33,0,28
90dd7a8adba15793a229210a4f6b3e8f,143,0,256,672,548,631,185,178,121,185,17,720,829,964,262,991,797,471,0,9,0,0
744a7124398c8828262b3211b39303d8,0,0,0,0,0,0,41,43,52,0,0,236,401,3100,118,1936,824,829,47,22,14,0
001d91ef55c1c82b96ffad3c776cae26,0,25,0,0,0,4,3042,2971,1173,0,0,0,0,0,0,0,0,22,106,0,0,0
71f90c9946a635ac72fba0755e225c48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2237,1360,1808,1076,376,361,0,0
3a2be2b616f5978bb27ddb5c2b6540e1,99,0,49,131,125,180,328,336,165,58,0,593,782,1397,1122,1074,600,76,0,10,0,0
644a05316d61e8309481941898263457,799,0,1032,879,903,821,382,326,501,997,0,121,0,0,0,0,0,0,0,0,0,0
a6477665fdabd1419692651868bc883e,560,8,1417,464,289,482,95,54,68,1258,0,627,734,277,35,29,0,0,16,0,0,0
61341a6162f6313492691467d2ee41a3,0,0,0,63,40,76,827,1079,443,27,0,0,0,121,255,1274,1616,555,0,0,0,0
6607eb4ecc40ee15584de0d6f69e0964,0,844,0,0,0,0,0,0,0,0,1424,0,0,0,0,0,0,62,1051,986,877,1072
2e0978fd52b937d94c4f58aa52e1e0c8,810,0,869,473,705,378,437,264,493,876,0,143,0,0,0,0,0,0,0,0,0,0
2082eaa3dbd2a2ef8d30739f580a1708,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,172,735,4012,449,0,0,0
8c5a795900cb45aec960015ce5b90bdf,195,0,377,328,228,253,131,141,90,282,0,569,503,467,132,230,561,485,58,0,0,0
baaa3d6fadaf15e2a5c2ac0a70611c52,252,0,605,140,101,220,23,0,0,507,0,1181,1389,460,47,55,20,0,20,0,0,0
440a793b9e9b16ab65f23c8a83df0247,0,84,0,0,0,0,1197,645,650,0,145,0,0,0,1748,240,127,90,0,0,0,0
8c85303954bc2d6de038afde0f4607af,544,0,451,645,418,691,265,185,208,430,19,226,289,437,0,43,0,0,0,0,0,0
6eb246877f360a56cbc463eb9de797a6,0,497,0,0,0,0,0,0,0,0,579,0,0,0,0,0,11,0,536,1010,822,1197
dce063070dc497b447cfa97dc52b6984,0,0,0,146,68,203,1011,918,854,0,0,0,0,994,0,175,120,102,0,0,0,0
b82009e1dcde7b7f1428495159218225,0,0,0,59,0,64,157,363,116,0,0,130,192,362,110,798,1095,1014,101,0,0,9
c2b9f5a98b7b0858dbe255e7772f072b,0,443,0,0,0,0,0,0,0,15,377,0,0,0,0,0,0,0,266,988,1137,1321
a6e287e1e3ca265542c4178720f49a19,0,335,0,0,0,0,0,0,0,0,376,0,0,0,0,0,0,0,1434,916,623,855
2857e426ee3bddb4957a8eef8e6e5080,0,206,0,0,0,0,382,404,315,0,417,0,0,0,587,545,518,333,342,306,0,151
8ce3bf666d51387aba90923da26d44ef,0,291,0,0,0,0,0,0,0,0,429,0,0,0,0,0,10,14,694,788,956,1294
40b85c380ddd79ef14762634df7bea0e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1394,1112,655,1109
c6907a757df6c8c60b67941abeeb4088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,566,1500,1280,867,13,0,0,0
fd16edb66d5599c0b2bff6c67ab8b68d,0,312,0,0,0,0,0,0,0,0,379,0,0,0,327,1156,926,751,208,0,44,54
99e3158e321e236bb16b134902475032,0,874,0,0,0,0,0,0,0,0,969,0,0,0,0,0,0,0,653,633,296,553
963997c67923a7170c10e9ad58dfbd4d,0,231,0,0,0,0,0,0,0,0,271,0,0,0,0,0,0,25,946,819,634,1012
9994d24e5764b8d5fd3014416f00a079,368,0,527,186,150,280,18,36,0,538,0,788,622,331,13,65,0,0,0,0,0,0
1acfe546a168af8feffa67067a71f2e3,125,0,238,238,152,273,296,245,121,293,14,184,225,360,312,388,187,100,0,0,0,0
06daeb1bed42708aba81e66789d19a12,0,0,0,83,48,88,537,485,265,0,0,0,56,183,214,656,711,314,0,0,0,0
0fdf71793d859811e62dd1ca02232337,0,497,0,0,0,0,0,0,0,0,649,0,0,0,407,309,242,159,191,394,252,385
c5919cc3cee08004baa68823c44c9970,187,0,253,528,328,479,80,44,54,279,0,214,279,485,122,43,0,0,0,0,0,0
d23a3d7209437c9cd6130c6a7d076f37,226,0,396,309,316,335,14,0,0,393,0,506,600,164,0,48,0,0,5,0,0,0
9fc26bdc339dc9a6e3192c80b43fc066,0,482,0,0,0,0,0,0,0,0,465,0,0,0,0,0,0,0,530,378,550,777
6d0e0155e23e95d30c69860d10f14a2c,0,31,0,0,0,0,376,336,128,0,41,0,0,0,330,520,649,462,155,32,33,47
c65145b5e89861c379cd98700b5b1b59,346,0,369,76,62,108,157,140,64,282,0,399,505,336,194,58,0,0,0,7,0,0
a339994e1c04caedcf6d463ddc1022ea,405,0,427,243,262,277,536,311,289,340,0,0,0,0,0,0,0,0,0,0,0,0
6c7e1c708be77054918d97907c32dd5e,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,20,60,741,1844,138,104,133
dbc8fc1d436b7c79771a65b7249f281c,0,290,0,0,0,0,0,0,0,0,284,0,0,0,0,0,0,0,646,729,443,634
1daa67ddec823ecf0f3549712a4e3ce0,0,179,0,0,0,0,0,0,0,0,225,0,0,0,0,0,5,0,2058,171,144,227
940f2af34d66d57457e61a863a299834,0,0,0,0,0,0,899,991,565,0,0,0,0,0,0,231,178,100,0,0,0,0
361edb871edf431449584a2ee65caca3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492,1093,241,0,0,0,0
179b0addab385e30e66fd3a65dc5d4d4,0,113,0,0,0,0,539,1031,188,0,155,0,0,0,438,332,0,0,0,0,0,0
79ab68ef2583c977f05e84502a5670e7,0,346,0,0,0,0,0,0,0,0,440,0,0,0,0,0,4,0,778,344,312,533
3e37edf6f651627f00ad366ece264821,208,0,355,394,310,304,127,154,94,393,0,145,133,63,0,36,18,0,0,0,0,0
091fadb57ba7cd4d693e58602fe85202,0,0,0,0,0,0,1341,960,327,0,0,0,0,0,0,17,28,0,47,0,0,0
fd6eb0b31e52da92903b15c571a00154,0,361,0,0,0,0,0,0,0,3,339,0,0,0,0,112,200,487,289,352,243,320
e8009122bbcfacde1cc14c0b7c64dec3,229,0,167,302,208,335,68,43,37,259,0,191,308,354,113,68,0,0,0,0,0,0
2bbeb3c1e09177eb309b7463cc303939,0,0,0,233,150,310,49,22,30,0,0,565,589,539,59,47,18,0,0,0,0,0
3918778d6c47a89594da334774ed6975,0,397,0,0,0,0,0,0,0,0,409,0,0,0,0,0,0,10,560,343,398,478
04996f9f00d149dcc10bbd504e6bda86,40,0,44,802,381,635,120,104,145,19,0,0,0,278,0,0,0,26,0,0,0,0
d3e6161794ce0ae23546b1a4026baf36,0,0,0,0,0,0,162,268,114,0,0,0,0,0,145,960,609,336,0,0,0,0
bf7c48dff1424b84c8aef5e111f84912,157,0,239,100,83,95,48,50,0,149,0,517,402,144,0,191,171,89,0,0,0,0
25d4a00daa9241ecd251f284800d880e,167,0,375,308,225,267,124,0,0,432,0,97,0,163,0,0,120,151,0,0,0,0
a17be74401964849074b756d35c405d7,0,362,0,0,0,0,0,0,0,0,498,0,0,0,0,0,0,0,385,400,324,449
d197ca0f4eb093992fbd078c2c5ef623,0,103,0,0,0,0,0,0,0,0,152,0,0,0,0,0,0,0,976,364,281,529
b9dbee393d5a96fa289363600e81fd96,0,225,0,0,0,0,0,0,0,0,296,0,0,0,0,0,0,0,263,506,444,656
9831fb285a16c8cefe04b4b487fc864e,0,0,0,0,0,0,0,0,0,0,0,153,159,78,91,287,400,525,140,114,124,274
612bb985104ec0e3b5f776e7ffb1e387,0,317,0,0,0,0,0,0,0,0,529,0,0,0,0,0,0,0,324,472,242,455
269832ef7ddc16f8738b61c63fe56a38,0,0,0,0,0,0,0,0,0,0,0,141,101,77,118,271,377,568,155,124,136,251
28b8169a7cb7418d7c85079641b14096,0,0,5,0,0,0,354,253,151,0,0,14,14,104,373,299,491,240,0,0,0,0
05ff947e32b786f8129cca25ef2759da,0,16,0,0,0,0,38,29,0,0,28,0,0,0,753,149,133,492,645,12,0,0
3b81e6e4677a039e00782ee9a22ed942,0,213,0,0,0,0,0,0,0,0,325,0,0,0,0,0,0,0,484,345,378,526
295cb72cbe82e5ddd7b794f658ef4a61,91,0,174,209,146,220,23,0,0,134,0,309,390,389,95,88,0,0,0,0,0,0
0a0363904c50d6ed1892e9b5b6645646,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,925,585,614,77,0,0,0
b54a1acbe195b1185613e7f4b17d7183,0,0,0,0,0,0,115,197,135,0,0,0,0,0,12,834,605,327,0,0,0,0
660de05859e13d82ef0ec2a0a54df48a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,412,554,507,740
2d0dcacf7d5a43630e75a31784cd95c2,0,110,0,0,0,0,0,0,0,0,154,0,0,0,0,0,0,0,1279,286,89,284
df889fa3be86420c09011bbd2fa8577a,220,0,415,291,120,196,17,13,0,305,0,163,194,128,19,0,0,0,0,0,0,0
823d8ca5fdac9450b955622e0c3dfa8d,0,0,0,0,0,0,0,0,0,0,0,145,131,66,88,230,334,480,140,105,119,223
0a73fc2a15171da6f9708f12f1b6b277,0,0,0,0,0,3,383,447,278,0,0,0,0,0,0,390,384,152,9,0,0,0
58599232aca842d8609a92525eebf5f5,139,0,196,210,127,204,0,0,0,239,0,322,410,136,21,27,0,0,0,0,0,0
682c0fff39b6dd2f12d5873f2e28c643,0,0,104,173,119,172,153,107,72,167,0,115,134,86,13,115,279,195,0,0,0,0
04d56ca7b3e4d3893acc4cc846b6ce3d,0,94,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,315,501,315,618
cc592e839a1dbf52bde66e21c5878400,0,0,0,0,0,0,291,467,180,0,0,0,0,0,33,221,355,413,26,0,0,0
d430184f93719dc04efea4226a48bdec,0,97,0,0,0,0,27,52,0,0,118,0,0,0,0,0,259,1058,259,38,25,39
9b049db6b47d88eb9289a2fefab5c1ca,0,10,0,0,0,0,58,54,50,0,0,0,0,0,491,120,91,167,826,16,0,26
2a939b81370c8c62b03cb7f5f3b8a5d4,0,218,0,0,0,0,0,0,0,0,262,0,0,0,0,0,0,0,362,406,207,406
86935573495680936eacf9c9796d6277,0,0,0,132,199,122,0,0,36,4,0,0,0,921,338,97,0,4,4,0,0,0
13ad68094b5edcab545c69f4c5c13df6,0,114,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,223,520,286,585
399ce2f6d3bfec8f7dbef2c734581d27,0,0,0,0,0,0,239,309,196,0,0,0,0,0,110,449,237,274,0,0,0,0
51c88d68aa775831594a6ba97cafc221,47,0,69,90,107,128,43,45,37,64,0,321,331,360,35,65,16,0,3,0,0,0
3c74688387ac7d6849865e5d16491a52,0,0,0,0,0,0,336,104,176,0,0,0,0,0,1058,50,0,0,0,0,0,0
866e4db1b8b8cae517f8d29e6ed9cd21,0,0,0,0,0,0,0,0,0,0,0,0,0,594,734,362,25,0,0,0,0,0
f06f5f8a2d6a42fa56f1d90b409596e4,0,143,0,0,0,0,435,461,443,0,188,0,0,0,0,0,0,0,0,0,0,0
8d0fb2056bc7945200dd1a4acce9e9b9,0,7,0,0,0,0,0,0,0,0,14,0,0,0,429,587,395,207,26,0,0,0
3e6f785a1f7cc7fc53bcb3b9b7b56971,0,0,12,0,20,0,0,0,0,13,0,622,537,387,0,62,0,0,11,0,0,0
b4aab0eb73478e4801dfb73e07ac8fc8,0,94,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,1195,60,82,127
e481b9229028da53bcb151b45bfff84b,108,0,173,285,141,309,34,18,0,179,11,132,136,0,0,31,0,10,0,0,0,0
5d3e91d6d8e2797333122394d085a4a9,0,539,0,0,0,0,0,0,0,0,578,0,0,0,0,0,0,0,143,105,86,115
7c2bc37c54f6e9ffb537895950df64d1,0,147,0,0,0,0,0,0,0,0,122,0,0,0,0,0,0,0,350,317,223,384
000a3525effe53fac084aa7b3b858518,116,0,93,178,141,327,0,0,17,86,0,132,123,53,107,111,41,0,0,0,0,0
1aecffda02807891b898788811dca0c6,0,257,0,0,0,0,0,0,0,0,227,0,0,0,0,0,0,0,184,293,234,324
8c0c4366131be716d27727c9f95c99f6,178,0,312,47,42,32,20,29,7,250,0,202,138,99,28,38,49,43,0,0,0,0
6fe67555e597eacf92b6743e2faf9c23,100,0,123,163,124,182,0,0,0,129,0,170,187,127,73,61,35,0,0,0,0,0
2e69bcbfdbc12dda683d98c40eb7289a,43,0,80,245,171,107,47,29,52,39,17,222,154,101,66,37,0,0,25,12,0,0
63f01272e76939b1de7f04bbcc7f5757,0,123,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,394,292,185,300
1085f7154d79b794e2f9d3724cd1b6cf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365,364,228,468
c62e0cd75234faed047322b47c74db08,0,49,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,323,312,302,387
081c8ae8978f6725da8063b1d7e8414c,0,145,0,0,0,0,0,0,0,0,252,0,0,0,0,0,0,0,238,292,176,319
0efe4316b35f22af4895590acf120385,0,30,0,0,0,0,150,55,56,0,33,0,0,0,47,141,227,529,147,0,0,0
5430577041451c56c57bdcbf6e25cf0d,0,0,19,69,40,95,220,225,162,17,0,0,37,146,0,90,122,172,0,0,0,0
84f465b5a9e41490f8669d0019708452,0,114,0,0,0,0,0,0,0,0,146,0,0,0,0,0,0,0,397,235,211,272
e4a99f2eff07f419a83a9b43013c397c,0,0,279,0,52,0,0,0,0,180,0,419,427,0,0,0,0,0,0,12,0,0
2541852a4ee7d90aeec1f3f764784400,0,14,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,177,266,360,508
ea14a3b3ce3a1a494514e271bb1600b3,12,0,38,443,121,387,91,58,45,55,0,0,0,0,0,0,20,55,0,0,0,0
b7dc4e8f4e2cf00030a695797ed84c93,0,0,25,89,61,125,38,23,39,0,0,0,0,115,133,561,95,18,0,0,0,0
839733864afcf0d62a0a209dc4cd650e,108,0,125,98,33,69,46,39,0,88,0,194,134,100,35,110,81,59,0,0,0,0
0b93721dd235c2352518dbc008060891,0,384,0,0,0,0,0,0,0,0,330,0,0,0,0,0,0,0,200,99,125,179
54d6aaf75575bd7ba3c158b1b7c1730e,101,0,171,0,0,0,13,0,0,244,0,314,298,120,0,27,0,0,0,0,0,0
53feb2776a7dacec142a4d29cd530304,97,0,96,78,0,125,0,0,31,118,0,262,221,176,41,41,0,0,0,0,0,0
82670b92946b48f585521ca1054a9e3b,0,0,0,0,0,0,430,424,370,0,0,0,0,0,0,61,0,0,0,0,0,0
cf56958c4fe4d1fa6fdda1bcb5e19cac,134,0,154,147,0,178,0,0,17,182,0,165,0,0,42,144,118,0,0,0,0,0
ecb6fd5d51bc15ca3d4af488a5028ccb,0,151,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,231,237,199,343
337a0db1dd5362f59bf82f8b07f5bfb4,0,32,0,0,0,0,114,98,0,0,0,0,0,0,235,79,173,86,227,46,86,95
e4ddcbd0ec705b523a2abd3aee5601e5,79,0,80,142,73,137,103,0,48,61,0,71,112,223,88,41,0,0,0,0,0,0
8dccde31dc8e25e06e58fb6f4de92d4e,0,0,0,0,0,0,0,0,0,0,0,434,311,0,0,160,220,128,0,0,0,0
bdf1506567085905a018b9d5eadf9f96,0,144,0,0,0,0,0,0,0,0,159,0,0,0,0,0,0,0,272,229,138,300
5cfb395315eaeca31e0fe44e82e0f0e8,0,0,0,0,0,0,0,0,0,0,0,122,78,0,0,385,361,249,37,0,0,0
d8328beb38a0b573f6c67dd99e298f5b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,118,294,340,120,0,31,63
e1166a1f253b43ac57295793b7a25a4d,125,0,180,0,43,0,22,29,0,113,0,311,308,0,36,40,0,0,4,0,0,0
9346f37594ee772d8cfbbcebe82bb000,216,0,299,120,110,149,0,0,0,283,0,0,0,0,0,0,19,12,0,0,0,0
d3c874466e856ed8ed21e3098afb35f2,0,0,0,0,0,0,63,102,31,0,0,160,133,30,0,262,252,163,0,0,0,0
df731b5dfd743d80fd03fe7d3d415ffd,0,0,59,169,115,215,75,63,53,57,0,0,59,265,41,0,18,0,0,0,0,0
cbfff69a10147dc7f9729fba61b6e920,358,0,415,0,0,0,0,0,0,406,0,0,0,0,0,0,0,0,0,0,0,0
010c4639ca0c0bfbe3e5b74f67442ec5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,302,285,490
ee0269c6cf23b4e54309e8cbdb901409,126,0,219,80,45,85,0,0,0,197,0,199,226,0,0,0,0,0,0,0,0,0
c269ed26a6c987322d57b3826ddbdac7,0,0,0,0,0,0,200,391,70,0,0,0,0,0,176,130,121,85,0,0,0,0
4760ca4cff04c11d0fb1eeb27f1b525d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,527,36,0,0,176,133,210
ebd8f1ec81f4b20f805ab618cc115bda,0,0,0,0,0,0,0,0,0,0,0,59,70,54,60,131,220,270,62,74,0,140
59e6c5bea11766d4f3e63e34f068ce45,0,0,0,0,0,0,147,93,31,0,0,0,0,0,37,83,323,424,0,0,0,0
12e4e9d490487c575264c762bbff3cda,0,0,0,0,0,0,315,388,250,0,178,0,0,0,0,0,0,0,0,0,0,0
0fc0da3e9f3bac5787239923f1950e15,38,0,61,60,29,54,0,0,0,45,0,373,309,118,0,37,0,0,0,0,0,0
f84cc7bb0a87da8a69d04f3a6c1a0e85,0,0,0,0,0,0,0,0,0,0,1117,0,0,0,0,0,0,0,0,0,0,0
6bd97f02d9d8cb730085ea8a6150976f,0,0,0,0,0,51,48,146,0,0,652,0,0,0,0,45,41,31,59,0,0,43
674cef424090c1de484de07f64cd7a69,0,0,0,0,0,0,0,0,0,0,1112,0,0,0,0,0,0,0,0,0,0,0
b3bd744282ec4d99f9499b2c1d3b1449,0,0,7,344,193,300,86,94,81,0,0,0,0,0,0,0,0,0,0,0,0,0
05eb0acb7be4f8c2b13a2ddaad636594,0,0,0,0,0,0,125,274,120,0,0,0,0,0,21,317,135,107,0,0,0,0
40a8a31271c5748a285052f3bdea7070,103,0,48,151,56,119,35,24,24,57,0,85,89,296,0,0,0,0,0,0,0,0
885e9182e3b019feb2333aa24f32748b,0,388,0,0,0,0,0,0,0,0,684,0,0,0,0,0,0,0,0,0,0,0
83a824cd383ddaff4f62254537658639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,616,122,132,181
ef7c602199c4f282dfcefd245b952320,0,124,0,0,0,0,0,0,4,0,120,0,0,0,0,0,0,0,123,170,188,317
848436049213d2e4444067f0c916a90b,0,186,0,0,0,0,0,0,0,0,200,0,0,0,0,0,5,0,119,163,143,226
5f99594697a240f6fe02445c256ba004,0,112,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,233,193,157,243
3d10f26c6d8d7f46f64ce2aebdc81276,0,170,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,45,219,216,288
f3eb4f195366b78be765a798c73f60d9,0,0,0,0,0,0,252,228,110,0,0,0,0,0,0,148,178,104,0,0,0,0
f7ac6aaf5a5ece9fd7f9f8646529bb8d,0,35,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,192,230,187,337
ac4d40f89952e726c82c861f3148c532,0,0,0,0,0,0,206,91,84,0,0,0,0,0,0,110,263,250,0,0,0,0
a1fd75fa09095ed3392286f3f88d3f67,0,0,0,0,29,0,244,313,135,0,0,0,0,219,0,57,0,0,0,0,0,0
288348295bbbbfa8f5469ead175c724f,0,0,0,0,0,0,162,260,101,0,0,0,0,0,28,147,162,98,39,0,0,0
5ac97167fea041ae4c06006a30859a5d,0,0,0,102,142,120,0,0,0,0,0,165,279,174,0,0,0,0,0,0,0,0
e6169cacb64dba801866165bdc33f6bd,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,9,20,937,0,0,8
118f19f4fdc57badbc3739be6221fbea,0,104,0,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0,437,101,87,126
6ad1c0c1d7bab1b6d7840b5d01936da5,0,148,0,0,0,0,0,0,0,0,230,0,0,0,0,0,0,3,135,159,132,157
1ab521b685e598e4b991c95f0c1b67c2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,93,180,441,6,0,0,0
69fc4cb7c2e8aca2b1cd7b79ab195fa6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,227,341,216,0,0,0,0
b653ff478f519494aac1c09997b2667d,0,106,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,165,171,168,231
c95e2322a54bf72a5d92b3016d2f75d4,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,100,264,175,316
848913f495934a5565bee8d3f8aa6ebf,32,0,77,43,28,33,21,28,31,79,0,154,200,76,0,45,41,37,0,0,0,0
ea81c0efc4a79aa4328a543011c1f44e,64,0,216,0,0,0,0,0,0,173,0,215,255,0,0,0,0,0,0,0,0,0
d540e4509058ac8e51cbd2c89f7ac905,0,0,0,0,0,0,0,0,0,0,0,0,0,842,0,76,0,0,0,0,0,0
ed1346cd98104aaad850b73e24994847,0,108,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,129,201,120,247
7b8e8664a01732982f6f5a4d4d9c9ddb,0,0,50,62,99,132,43,40,28,28,0,92,94,241,0,0,0,0,0,0,0,0
d8af84d79c270639e5057b4291b0f149,0,0,0,0,12,14,169,115,93,0,0,0,0,69,138,200,59,38,0,0,0,0
1827b956a5e1f59e9924b4026709d446,0,373,0,0,0,0,0,0,0,0,224,0,0,0,0,0,0,0,0,0,0,297
b208693d07ad5e9d69c60e4d80809d28,0,0,0,0,0,0,0,0,0,0,0,51,55,26,55,91,141,224,56,55,38,101
105da282b8e8c9b2b4b075ddcdbce1ca,0,61,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,71,183,238,277
c5a5939b71a6a1efb7f4ce71243ff092,127,0,113,83,0,93,0,0,0,110,0,208,152,0,0,0,0,0,0,0,0,0
5252f78b961907166e63410eecae3958,82,0,145,109,58,94,0,0,0,71,0,118,129,70,0,0,0,0,0,0,0,0
ec08de1c47b7482ba8ee1eb812b98734,0,297,0,0,0,0,0,0,0,0,347,0,0,0,0,0,0,0,132,46,0,48
28861690a81d999be9eaeed7ac234637,52,0,80,139,130,133,40,0,0,39,0,70,70,114,0,0,0,0,0,0,0,0
e5cab1717bd79f0b49589456f8905f0b,225,0,123,0,0,134,0,0,0,377,0,0,0,0,0,0,0,0,0,0,0,0
81815f3fc182600f7c4e2658e5921682,72,0,124,106,85,174,0,0,0,142,0,46,61,32,7,0,0,0,0,0,0,0
2c96802956cd6c45cbe912286bb178d7,0,44,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,68,157,199,331
661f9b824016d14354c42bb0e922be1c,0,0,0,0,0,0,111,171,59,0,0,0,0,0,0,222,150,134,0,0,0,0
